Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Sum_of_Opportunities__c,Potential_Value__c
001dM00000HE7HeQAL,False,,Edge Communications,Customer - Direct,,"312 Constitution Place
Austin, TX 78767
USA",Austin,TX,,,,,,"312 Constitution Place
Austin, TX 78767
USA",,,,,,,,(512) 757-6000,(512) 757-9000,CD451796,http://edgecomm.com,/services/images/photo/001dM00000HE7HeQAL,6576,Electronics,139000000.0,1000.0,Public,EDGE,Heritage Account,Hot,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1722403563000,005dM000004WE3FQAW,1722403563000,,1722403563000.0,1722403563000.0,,,Pending,,,,,,,,,Medium,Silver,Yes,2.0,Maybe,2657,2023-08-04,220000.0,220000.0
001dM00000HE7HfQAL,False,,Burlington Textiles Corp of America,Customer - Direct,,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,,,,,,,,,(336) 222-7000,(336) 222-8000,CD656092,www.burlington.com,/services/images/photo/001dM00000HE7HfQAL,546732,Apparel,350000000.0,9000.0,Public,BTXT,Heritage Account,Warm,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1722403563000,005dM000004WE3FQAW,1722403563000,,1722421305000.0,1722421305000.0,,,Pending,,,,,,,,,,Silver,,6.0,Maybe,5367,2023-08-04,235000.0,235000.0
001dM00000HE7HgQAL,False,,Pyramid Construction Inc.,Customer - Channel,,2 Place Jussieu,Paris,,75251,France,,,,2 Place Jussieu,Paris,,75251,France,,,,(014) 427-4427,(014) 427-4428,CC213425,www.pyramid.com,/services/images/photo/001dM00000HE7HgQAL,4253,Construction,950000000.0,2680.0,Public,PYR,Heritage Account,,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1722403563000,005dM000004WE3FQAW,1722403563000,,1722403563000.0,1722403563000.0,,,Pending,,,,,,,,,,Silver,Yes,17.0,Maybe,9840,2024-02-04,100000.0,100000.0
001dM00000HE7HhQAL,False,,Dickenson plc,Customer - Channel,,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,(785) 241-6200,(785) 241-6201,CC634267,dickenson-consulting.com,/services/images/photo/001dM00000HE7HhQAL,6752,Consulting,50000000.0,120.0,Private,,Heritage Account,,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1722403563000,005dM000004WE3FQAW,1722403563000,,1722403563000.0,1722403563000.0,,,Pending,,,,,,,,,Low,Bronze,Yes,2.0,No,7425,2024-02-04,15000.0,15000.0
001dM00000HE7HiQAL,False,,Grand Hotels & Resorts Ltd,Customer - Direct,,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",Chicago,IL,,,,,,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,CD439877,www.grandhotels.com,/services/images/photo/001dM00000HE7HiQAL,2268,Hospitality,500000000.0,5600.0,Public,GHTL,Heritage Account,Warm,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1722403563000,005dM000004WE3FQAW,1722403563000,,1722403563000.0,1722403563000.0,,,Pending,,,,,,,,,High,Gold,Yes,57.0,Yes,5572,2024-02-04,915000.0,915000.0
001dM00000HE7HjQAL,False,,United Oil & Gas Corp.,Customer - Direct,,"1301 Avenue of the Americas 
New York, NY 10019
USA",New York,NY,,,,,,"1301 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,(212) 842-5500,(212) 842-5501,CD355118,http://www.uos.com,/services/images/photo/001dM00000HE7HjQAL,4437,Energy,5600000000.0,145000.0,Public,UOS,World's third largest oil and gas company.,Hot,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,Pending,,,,,,,,,High,Platinum,Yes,955.0,Yes,6654,2024-02-04,3440000.0,3440000.0
001dM00000HE7HkQAL,False,,Express Logistics and Transport,Customer - Channel,,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Portland,OR,,,,,,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,(503) 421-7800,(503) 421-7801,CC947211,www.expressl&t.net,/services/images/photo/001dM00000HE7HkQAL,8742,Transportation,950000000.0,12300.0,Public,EXLT,Commerical logistics and transportation company.,Cold,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,Pending,,,,,,,,,Medium,Platinum,Yes,150.0,Maybe,4724,2024-02-04,420000.0,420000.0
001dM00000HE7HlQAL,False,,University of Arizona,Customer - Direct,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Tucson,AZ,,,,,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",,,,,,,,(520) 773-9050,(520) 773-9060,CD736025,www.universityofarizona.com,/services/images/photo/001dM00000HE7HlQAL,7321,Education,,39000.0,Other,,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",Warm,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,Pending,,,,,,,,,Medium,Gold,Yes,3.0,Yes,8350,2023-08-04,240000.0,240000.0
001dM00000HE7HmQAL,False,,"United Oil & Gas, UK",Customer - Direct,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,UK,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,CD355119-A,http://www.uos.com,/services/images/photo/001dM00000HE7HmQAL,4437,Energy,,24000.0,Public,UOS,,,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,Pending,,,,,,,,,High,Platinum,Yes,34.0,No,3479,2023-08-04,0.0,0.0
001dM00000HE7HnQAL,False,,"United Oil & Gas, Singapore",Customer - Direct,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",Singapore,Singapore,,,,,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,CD355120-B,http://www.uos.com,/services/images/photo/001dM00000HE7HnQAL,4437,Energy,,3000.0,Public,UOS,,,,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,Pending,,,,,,,,,High,Platinum,Yes,6.0,Maybe,2457,2024-02-04,0.0,0.0
